S.No,Brand,Model_Name,Price (in Dollars),Processor_Specifications,Processor_Brand,RAM_Expandable (GB),RAM (GB),RAM_TYPE,Processor (Ghz),Display_Type,GPU,GPU_Brand,SSD Storage (GB),HDD Storage (GB),Adapter (Hz),Battery_Life,Screen_Size (inches),OS,Customer_Review,Battery_Life_Standardized
0,HP,HP Chromebook 11A-NA0002MU (2E4N0PA) Laptop (11.6 Inch | MediaTek Octa Core | 4 GB | Google Chrome |)::585119::computer::laptops,275.88,MediaTek Octa-core,MediaTek,0,4,DDR4,2.0,LED,Integrated Graphics,MediaTek,64,0,45, Upto 12 Hrs Battery Life,11.6,Chrome,"I Also Feel Like Apple Hides Too Much Under The Hood From The User , But I Suppose You Can Still Work Around That If You Are So Inclined .",12.0
1,Lenovo,Lenovo Ideapad Slim 3 (82KU017KIN) Laptop (15.6 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::594497::computer::laptops,435.468,AMD Hexa-Core Ryzen 5,AMD,12,8,DDR4,4.0,LCD,Radeon,AMD,512,0,65, Upto 11 Hrs Battery Life,15.6,Windows 11,After My 3Rd Boot Up It ' S Damaged .,11.0
2,Dell,Dell G15-5520 (D560822WIN9B) Laptop (15.6 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 512 GB SSD)::595299::computer::laptops,942.0,Intel Core i5 (12th Gen),Intel,32,16,DDR5,3.3,LCD,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512,0,56, Upto 10 Hrs Battery Life,15.6,Windows 11,Would Have Been 5 Stars If The Keyboard Was Back Light And The Finger Print Reader Had Linux Drivers .,10.0
3,HP,HP 15s-fy5007TU (91R03PA) Laptop (15.6 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::616095::computer::laptops,665.88,Intel Core i5 (12th Gen),Intel,8,8,DDR4,4.2,LCD,Iris Xe,Intel,512,0,0,Upto 7.30 Hrs Battery Life,15.6,Windows 11,Its Really Quick At Loading Web Pages .,7.3
4,Infinix,Infinix Inbook Y2 Plus XL29 Laptop (15.6 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::615700::computer::laptops,263.88,Intel Core i3 (11th Gen),Intel,0,8,LPDDR4X,1.7,LCD,UHD,Intel,512,0,45, Upto 8 Hrs Battery Life,15.6,Windows 11,"2Nd Problem Was The Game Card Was Damaged And 3Rd Problem Was Youtube Wouldn ' T Work Again , And The Search Bar On The Laptop Wasnt Working .",8.0
5,Acer,Acer One 14 Z8-415 (UN.599SI.020) Laptop (14 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::616145::computer::laptops,419.88,Intel Core i5 (11th Gen) Processor,Intel,32,16,DDR4,0.0,LCD,Iris Xe,Intel,512,0,45,45W Adapter,14,Windows 11,"Keep In Mind , You Have To Pay $ For Ms Office Where Google Docs Is Free .",1.4
6,HP,HP 14s-fq1092AU (50M60PA) Laptop (14 Inch | AMD Hexa Core Ryzen 5 | 8 GB | Windows 11 | 512 GB SSD)::594309::computer::laptops,595.188,AMD Hexa-Core Ryzen 5,AMD,16,8,DDR4,4.0,LCD,Radeon,AMD,512,0,65, Upto 9 Hrs Battery Life,14,Windows 11,"Their Support Page Is Very Buggy , And The Support People Are Unhelpful .",9.0
7,Acer,Acer One 14 Z8-415 (UN.599SI.018) Laptop (14 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::616155::computer::laptops,479.88,Intel Core i5 (11th Gen),Intel,32,8,DDR4,2.5,LCD,Iris Xe,Intel,512,0,45,45W Adapter,14,Windows 11,I Find The Picture More Watchable Than My Tv .,1.4
8,Lenovo,Lenovo Ideapad S145 (81VD008PIN) Laptop (15.6 Inch | Core i3 8th Gen | 4 GB | DOS | 1 TB HDD)::579826::computer::laptops,397.332,Intel Core i3 (8th Gen),Intel,12,4,DDR4,2.2,LED,UHD 620,Intel,0,1024,45,45W Adapter,15.6,DOS,I Returned It Because The Speaker Is Dead Low .,1.4
9,ASUS,ASUS TUF Gaming F15 FX506HF-HN075W Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::613032::computer::laptops,587.88,Intel Core i5 (11th Gen),Intel,0,8,DDR4,2.9,LCD,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512,0,150,150W Adapter,15.6,Windows 11,"As Of Now , Highly Recommended Refurbished Products",0.4
10,Lenovo,Lenovo LOQ 15APH8 (82XT004JIN) Laptop (15.6 Inch | AMD Octa Core Ryzen 7 | 16 GB | Windows 11 | 512 GB SSD)::612854::computer::laptops,1115.88,AMD Octa-Core Ryzen 7,AMD,16,16,DDR5,3.4,LCD,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,512,0,170, Upto 9.5 Hrs Battery Life,15.6,Windows 11,"Elegant Design Combined Good Performance , This Laptop Is Almost Flawless .",9.5
11,HP,HP 15s-eq1580AU (834S2PA) Laptop (15.6 Inch | AMD Dual Core Ryzen 3 | 8 GB | Windows 11 | 512 GB SSD)::615979::computer::laptops,377.88,AMD Dual-Core Ryzen 3,AMD,0,8,DDR4,2.6,LCD,Radeon,AMD,512,0,65, Upto 7 Hrs Battery Life,15.6,Windows 11,Buyer Beware - Computer Is Complete Trash .,7.0
12,Acer,Acer Predator Helios Neo 16 PHN16-71 (NH.QLTSI.003) Laptop (16 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::611409::computer::laptops,1259.88,Intel Core i7 (13th Gen) Processor,Intel,32,16,DDR5,0.0,LCD,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024,0,230,230W Adapter,16,Windows 11,The Return Procedure Is So Elaborate That I May Decide To Just Write This Purchase Up As One Big Mistake .,0.3
13,HP,HP 14s-dy2508TU (6X360PA) Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::597128::computer::laptops,539.988,Intel Core i3 (11th Gen),Intel,8,8,DDR4,1.7,LCD,UHD,Intel,512,0,65, Upto 9.45 Hrs Battery Life,14,Windows 11,"It Starts Up , Runs Without Issues .",9.45
14,Acer,Acer Predator Helios Neo 16 PHN16-71 (NH.QLTSI.006) Laptop (16 Inch | Core i7 13th Gen | 16 GB | Windows 11 | 1 TB SSD)::612876::computer::laptops,1355.76,Intel Core i7 (13th Gen) Processor,Intel,32,16,DDR5,0.0,LCD,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024,0,230,230W Adapter,16,Windows 11,I Am Very Happy With This Purchase Especially For The Price .,0.3
15,Dell,Dell Vostro 3420 (293420GT2FWO2MC2IN) Laptop (14 Inch | Core i5 12th Gen | 8 GB | Windows 11 | 512 GB SSD)::600396::computer::laptops,633.6,Intel Core i5 (12th Gen),Intel,16,8,DDR4,3.3,LCD,Iris Xe,Intel,512,0,0,Upto 7 Hrs Battery Life,14,Windows 11,I Enjoy The Processing Speed Of This Model .,7.0
16,ASUS,ASUS VivoBook 14 X415EA-EK322WS Laptop (14 Inch | Core i3 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::596964::computer::laptops,443.88,Intel Core i3 (11th Gen),Intel,12,8,DDR4,3.0,LCD,UHD,Intel,512,0,65, Upto 6 Hrs Battery Life,14,Windows 11,"Do Your Research , Learn How To Optimize Your Experience , And You ' Ll Love It !",6.0
17,Tecno,Tecno MEGABOOK T1 Laptop (15.6 Inch | Core i5 11th Gen | 16 GB | Windows 11 | 512 GB SSD)::613324::computer::laptops,575.988,Intel Core i5 (11th Gen),Intel,16,16,DDR4,4.7,LCD,Iris Xe,Intel,512,0,65, Upto 17.5 Hrs Battery Life,15.6,Windows 11,"Now There Are Pixels On The Screen Not Working , And They Are Multiplying .",17.5
18,Acer,Acer Nitro V ANV15-51 (UN.QN8SI.001) Laptop (15.6 Inch | Core i5 13th Gen | 16 GB | Windows 11 | 512 GB SSD)::613400::computer::laptops,934.32,Intel Core i5 (13th Gen) Processor,Intel,32,16,DDR5,0.0,LCD,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,512,0,135,135W Adapter,15.6,Windows 11,"As A Traveler , This Fits In My Backpack Without All The Added Weight Of A Small 13 ` ` Laptop .",0.5
19,Lenovo,Lenovo Ideapad Gaming 3 15IHU6 (82K101PCIN) Laptop (15.6 Inch | Core i5 11th Gen | 8 GB | Windows 11 | 512 GB SSD)::615134::computer::laptops,598.8000000000001,Intel Core i5 (11th Gen),Intel,16,8,DDR4,3.1,LCD,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512,0,0,Upto 6.5 Hrs Battery Life,15.6,Windows 11,- New I5 Mobile Processor .,6.5
20,HP,HP Pavilion 14-dv2153TU (8Y2S3PA) Laptop (14 Inch | Core i5 12th Gen | 16 GB | Windows 11 | 1 TB SSD)::613601::computer::laptops,839.988,Intel Core i5 (12th Gen),Intel,16,16,DDR4,4.2,LCD,Iris Xe,Intel,1024,0,0,Not Specified,14,Windows 11,It Is A Good Product To Buy .,
